Format Version,1.21,Take Name,Take 2017-12-04 07.34.48 PM,Capture Frame Rate,120,Export Frame Rate,30,Capture Start Time,2017-12-04 07.34.48.522 PM,Total Frames in Take,2375,Total Exported Frames,595,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.933333,-0.572982,0.353286,-0.344417,-0.654414,-0.090866,0.81575,0.278324,0.000939,-0.068762,-0.157855,-0.048717,0.98386,-0.088896,0.82359,-0.276537,0.00033,0.11359,-0.1046,0.002494,-0.988003,-0.018891,0.077652,-0.199733,0.000853,-0.218115,0.106136,-0.186251,-0.952088,-0.02639,0.076496,0.207693,0.000981,0.004475,0.251303,-0.049261,-0.966644,-0.004942,1.710671,-0.019064,0.000248,-0.012068,-0.097708,-0.010812,0.995083,0.077219,1.284726,0.018718,0.00154
29,0.966667,-0.574021,0.350545,-0.346794,-0.653722,-0.088108,0.815187,0.279622,0.00093,-0.069677,-0.159943,-0.062213,0.982697,-0.095735,0.826912,-0.277258,0.000315,0.113589,-0.104584,0.002526,-0.988005,-0.018878,0.077645,-0.199736,0.000849,-0.217904,0.10597,-0.186433,-0.952119,-0.026385,0.076498,0.207715,0.000936,0.004041,0.249849,-0.049564,-0.967007,-0.005102,1.710688,-0.01897,0.000252,-0.012042,-0.097607,-0.010713,0.995095,0.077319,1.284763,0.01867,0.001517
30,1,-0.574648,0.349517,-0.34916,-0.652461,-0.085415,0.814781,0.280634,0.000971,-0.072403,-0.163927,-0.078345,0.980688,-0.103671,0.83076,-0.278324,0.000277,0.113576,-0.104575,0.00256,-0.988007,-0.01887,0.077642,-0.199736,0.000847,-0.217953,0.105981,-0.186431,-0.952107,-0.026362,0.07649,0.207715,0.000932,0.002873,0.248109,-0.050112,-0.967431,-0.005415,1.710741,-0.018851,0.00023,-0.011967,-0.097722,-0.010538,0.995086,0.077398,1.284795,0.018658,0.001495
31,1.033333,-0.57474,0.349122,-0.351004,-0.651601,-0.083016,0.814625,0.2813,0.000901,-0.072326,-0.165429,-0.095153,0.978953,-0.112782,0.835555,-0.279723,0.000318,0.113562,-0.104626,0.002594,-0.988003,-0.018872,0.077649,-0.199738,0.000849,-0.217834,0.106131,-0.186304,-0.952142,-0.026397,0.076523,0.207682,0.000964,0.002501,0.245954,-0.050669,-0.967953,-0.005845,1.710737,-0.018596,0.000193,-0.011929,-0.098002,-0.010238,0.995062,0.077485,1.284833,0.018706,0.001475
32,1.066667,-0.57211,0.350395,-0.353538,-0.651863,-0.081006,0.814972,0.281813,0.000922,-0.074762,-0.16563,-0.11212,0.976937,-0.12327,0.841156,-0.281333,0.000289,0.11363,-0.104586,0.002639,-0.988,-0.018861,0.077648,-0.199744,0.000854,-0.218017,0.106131,-0.186251,-0.952111,-0.026365,0.076494,0.207679,0.000972,0.000995,0.243544,-0.051932,-0.968498,-0.00644,1.710785,-0.018315,0.00026,-0.011793,-0.09861,-0.009898,0.995007,0.077532,1.284916,0.018779,0.001449
33,1.1,-0.57158,0.353019,-0.353076,-0.651161,-0.079452,0.815613,0.282018,0.000963,-0.07643,-0.164261,-0.131186,0.974662,-0.135143,0.847786,-0.283295,0.000333,0.113656,-0.104601,0.002647,-0.987995,-0.018852,0.07765,-0.199749,0.000856,-0.217837,0.106047,-0.186309,-0.95215,-0.026364,0.076507,0.2077,0.000946,-0.001011,0.239018,-0.054091,-0.969507,-0.007516,1.710911,-0.018008,0.000225,-0.011758,-0.099303,-0.009605,0.994941,0.077592,1.285025,0.018907,0.001396
34,1.133333,-0.570377,0.355006,-0.353446,-0.650935,-0.078106,0.816342,0.282194,0.000936,-0.077324,-0.162849,-0.153371,0.971586,-0.148684,0.855904,-0.285392,0.000297,0.113634,-0.104602,0.00268,-0.987997,-0.018851,0.077653,-0.199756,0.000857,-0.217915,0.106205,-0.18616,-0.952144,-0.02637,0.076514,0.207672,0.000988,-0.002679,0.233021,-0.056679,-0.970815,-0.008954,1.710992,-0.017704,0.000259,-0.011839,-0.100031,-0.0095,0.994869,0.077691,1.285142,0.019075,0.001375
35,1.166667,-0.569553,0.358287,-0.354491,-0.649289,-0.077038,0.817134,0.282315,0.000957,-0.07871,-0.159579,-0.177871,0.967833,-0.163585,0.865584,-0.287821,0.000353,0.113808,-0.104565,0.002757,-0.987981,-0.018859,0.077671,-0.19976,0.000856,-0.217946,0.106053,-0.186257,-0.952135,-0.02635,0.076499,0.207687,0.000963,-0.005587,0.226377,-0.059306,-0.972217,-0.010552,1.711135,-0.017528,0.000202,-0.01187,-0.100505,-0.009548,0.99482,0.077811,1.285203,0.019194,0.001355
36,1.2,-0.570309,0.359875,-0.355065,-0.647431,-0.076009,0.817724,0.282648,0.000935,-0.079372,-0.158409,-0.203426,0.962925,-0.179623,0.876734,-0.290923,0.000401,0.113676,-0.104571,0.002661,-0.987996,-0.018857,0.077647,-0.199756,0.000857,-0.217933,0.106056,-0.186269,-0.952135,-0.026353,0.076492,0.207692,0.000961,-0.007196,0.220175,-0.061957,-0.973464,-0.012041,1.711154,-0.017147,0.00021,-0.011972,-0.101016,-0.00947,0.994768,0.077996,1.28527,0.019307,0.001321
37,1.233333,-0.569281,0.361444,-0.355987,-0.646955,-0.074787,0.818095,0.28333,0.000942,-0.081057,-0.158333,-0.234442,0.955718,-0.197246,0.889724,-0.294385,0.000443,0.113878,-0.104545,0.002721,-0.987975,-0.018865,0.077664,-0.199763,0.000865,-0.217857,0.106134,-0.186248,-0.952148,-0.026366,0.076512,0.207681,0.000958,-0.008798,0.21504,-0.064053,-0.974463,-0.01338,1.711176,-0.016765,0.000221,-0.01223,-0.101357,-0.00935,0.994731,0.078176,1.28531,0.019464,0.001304
