Format Version,1.21,Take Name,Rutina_Circulos_Lennon,Capture Frame Rate,120,Export Frame Rate,30,Capture Start Time,2017-11-27 08.00.40.658 PM,Total Frames in Take,2367,Total Exported Frames,593,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,3.8,0.023235,-0.004683,-0.034793,-0.999113,-0.005483,1.675078,-0.032028,0.000694,0.008534,-0.103927,0.041255,-0.993692,0.110277,1.309748,0.000307,0.00179,-0.183292,0.646344,-0.7326,0.109275,-0.528055,1.225353,0.20972,0.00103,0.058716,-0.020138,0.044455,0.997081,-0.030132,0.053996,-0.204725,0.001634,0.012839,-0.208063,0.006672,0.978009,0.028434,0.050292,0.190455,0.000872,-0.058349,-0.309656,0.585748,-0.746732,-0.515527,1.491716,-0.137097,0.00091
115,3.833333,0.023831,-0.003058,-0.035834,-0.999069,-0.00478,1.674952,-0.033106,0.000709,0.007963,-0.104159,0.043128,-0.993593,0.110689,1.310169,-5E-05,0.001815,-0.172178,0.657138,-0.724549,0.116417,-0.530525,1.230799,0.198662,0.000993,0.058713,-0.020086,0.044496,0.997081,-0.030143,0.053991,-0.20471,0.001639,0.012804,-0.208012,0.006676,0.97802,0.028435,0.050295,0.190458,0.000871,-0.046503,-0.320308,0.581486,-0.746401,-0.516663,1.480483,-0.121581,0.000911
116,3.866667,0.024311,-0.001377,-0.036651,-0.999031,-0.003836,1.674884,-0.034008,0.000697,0.007446,-0.104408,0.044785,-0.993498,0.111354,1.310606,-0.000376,0.001854,-0.162076,0.668752,-0.714699,0.125328,-0.532676,1.236823,0.18788,0.001081,0.058804,-0.020037,0.04455,0.997074,-0.030152,0.054001,-0.204701,0.001642,0.012335,-0.207945,0.006253,0.978043,0.028397,0.050271,0.190467,0.000892,-0.037978,-0.328592,0.576508,-0.747144,-0.517535,1.466679,-0.10743,0.000864
117,3.9,0.0242,-4.2E-05,-0.036799,-0.99903,-0.002652,1.674775,-0.034673,0.000706,0.007411,-0.104967,0.046609,-0.993355,0.112093,1.310876,-0.000633,0.001916,-0.152203,0.68031,-0.705392,0.128199,-0.534999,1.244168,0.176932,0.001076,0.058839,-0.020021,0.044547,0.997072,-0.030148,0.054,-0.204699,0.001644,0.01281,-0.207979,0.006383,0.978029,0.02843,0.050316,0.190464,0.000848,-0.02961,-0.336037,0.568469,-0.750364,-0.518362,1.449932,-0.094221,0.000859
118,3.933333,0.023869,0.00081,-0.036273,-0.999057,-0.001311,1.674759,-0.035185,0.000706,0.008011,-0.103815,0.048286,-0.993392,0.11257,1.31112,-0.000824,0.00197,-0.142056,0.693928,-0.693158,0.13348,-0.5376,1.253017,0.16629,0.000867,0.058856,-0.02005,0.044455,0.997075,-0.030137,0.053994,-0.204704,0.001638,0.012318,-0.207934,0.006155,0.978046,0.028411,0.050262,0.190474,0.000888,-0.019923,-0.338626,0.560191,-0.755726,-0.519032,1.430534,-0.082285,0.000852
119,3.966667,0.023265,0.000906,-0.035155,-0.999111,4.6E-05,1.674766,-0.035654,0.000742,0.008642,-0.102551,0.049601,-0.993453,0.113005,1.311455,-0.000843,0.002036,-0.128756,0.705265,-0.683758,0.136011,-0.539942,1.263745,0.155882,0.001027,0.058826,-0.020042,0.044466,0.997076,-0.030135,0.053999,-0.204717,0.00164,0.013216,-0.207842,0.006066,0.978054,0.028412,0.05037,0.190469,0.000838,-0.003682,-0.343019,0.547552,-0.763224,-0.519087,1.409224,-0.071672,0.000787
120,4,0.023198,0.001055,-0.033978,-0.999153,0.001505,1.67475,-0.036219,0.000727,0.010029,-0.10097,0.050164,-0.993573,0.11334,1.311907,-0.000819,0.002123,-0.11507,0.71486,-0.676047,0.136725,-0.542203,1.276516,0.145853,0.000978,0.058744,-0.020021,0.044386,0.997085,-0.030124,0.053994,-0.204728,0.001638,0.01219,-0.207973,0.00577,0.978042,0.028406,0.050272,0.190495,0.000872,0.012476,-0.344227,0.53471,-0.771646,-0.518513,1.386466,-0.062282,0.000704
121,4.033333,0.022599,0.001565,-0.03249,-0.999215,0.002816,1.674757,-0.036861,0.000702,0.011964,-0.099459,0.051092,-0.993657,0.113478,1.31235,-0.000649,0.002145,-0.101824,0.727943,-0.664537,0.134617,-0.544595,1.29087,0.136885,0.000894,0.05869,-0.020066,0.044353,0.997089,-0.030105,0.053996,-0.204747,0.001637,0.012714,-0.208001,0.005994,0.978028,0.028437,0.050326,0.19048,0.00082,0.028472,-0.342173,0.52484,-0.778878,-0.516862,1.363097,-0.054182,0.000591
122,4.066667,0.022829,0.003027,-0.030871,-0.999258,0.004071,1.674767,-0.037529,0.000709,0.052844,-0.000279,0.066289,-0.9964,0.113861,1.313259,-0.001295,0.001554,-0.08751,0.73437,-0.65973,0.133414,-0.54681,1.306853,0.129002,0.000911,0.058628,-0.020105,0.044248,0.997096,-0.030097,0.053981,-0.204758,0.001629,0.012187,-0.208106,0.006084,0.978011,0.028437,0.050248,0.190486,0.000885,0.042467,-0.336648,0.515478,-0.786859,-0.514297,1.339663,-0.047636,0.000504
123,4.1,0.022849,0.004461,-0.029071,-0.999306,0.005063,1.674797,-0.03804,0.000735,0.05475,0.002854,0.066554,-0.996275,0.113974,1.313348,-0.001211,0.001493,-0.075796,0.741446,-0.654691,0.126066,-0.548882,1.324071,0.12227,0.000933,0.058524,-0.020163,0.044179,0.997104,-0.03008,0.053986,-0.204776,0.001622,0.012686,-0.207921,0.005866,0.978046,0.028397,0.050312,0.190478,0.000871,0.051838,-0.333149,0.502946,-0.795845,-0.510752,1.31643,-0.041772,0.000563
