Head;Head;Head;Head;Head;Head;;;;;;;;;;;;;;;;;;
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
0.001660;0.643817;-0.024496;0.042694;1765822;-0.018744;0.001672;0.691758;0.006621;0.050317;1214991;0.013746;-0.191064;0.177724;-0.934614;-0.082819;0.876704;-0.258485;0.870201;-0.353309;-0.157229;-0.086809;0.873485;0.265770
0.001838;0.643941;-0.024418;0.042812;1765800;-0.018815;0.001649;0.691745;0.006531;0.050280;1214999;0.013751;-0.190857;0.177661;-0.934663;-0.082659;0.876681;-0.258352;0.870212;-0.353959;-0.155923;-0.086772;0.873294;0.265493
0.001940;0.644232;-0.024541;0.042894;1765791;-0.018845;0.001678;0.691745;0.006530;0.050286;1215005;0.013783;-0.190386;0.177988;-0.934654;-0.082524;0.876687;-0.258343;0.870339;-0.354023;-0.155159;-0.086722;0.873163;0.265171
0.001903;0.644482;-0.024527;0.042889;1765760;-0.018860;0.001693;0.691849;0.006522;0.050273;1214991;0.013832;-0.190152;0.178075;-0.934693;-0.082454;0.876669;-0.258416;0.870139;-0.354528;-0.155333;-0.086738;0.873083;0.264809
0.001737;0.644664;-0.024816;0.042821;1765743;-0.018850;0.001797;0.692044;0.006595;0.050305;1214974;0.013888;-0.189967;0.178153;-0.934706;-0.082414;0.876681;-0.258526;0.869891;-0.355204;-0.155427;-0.086863;0.873092;0.264442
0.001378;0.644756;-0.025026;0.042739;1765755;-0.018839;0.001833;0.692217;0.006705;0.050323;1214969;0.013976;-0.189817;0.177934;-0.934782;-0.082393;0.876719;-0.258637;0.869697;-0.355791;-0.154999;-0.087060;0.873175;0.264100
0.001263;0.644791;-0.025270;0.042697;1765747;-0.018831;0.001850;0.692358;0.006728;0.050312;1214968;0.014050;-0.189916;0.178011;-0.934780;-0.082396;0.876742;-0.258760;0.869720;-0.355841;-0.154784;-0.087319;0.873241;0.263841
0.001184;0.644784;-0.025187;0.042680;1765737;-0.018813;0.001788;0.692415;0.006678;0.050268;1214958;0.014115;-0.189977;0.177860;-0.934771;-0.082494;0.876786;-0.258836;0.869610;-0.356000;-0.155186;-0.087592;0.873254;0.263692
0.001150;0.644800;-0.024968;0.042741;1765745;-0.018792;0.001830;0.692451;0.006731;0.050311;1214959;0.014176;-0.189552;0.178019;-0.934737;-0.082651;0.876889;-0.258882;0.869681;-0.356144;-0.154828;-0.087849;0.873287;0.263616
0.001496;0.644853;-0.024925;0.042789;1765724;-0.018701;0.001834;0.692427;0.006720;0.050320;1214944;0.014209;-0.189555;0.178440;-0.934549;-0.082912;0.876963;-0.258880;0.869587;-0.356358;-0.154595;-0.088067;0.873286;0.263627
0.001647;0.644818;-0.024973;0.042820;1765694;-0.018632;0.001810;0.692409;0.006688;0.050309;1214936;0.014222;-0.190011;0.178859;-0.934278;-0.083275;0.877053;-0.258839;0.869647;-0.356377;-0.154139;-0.088259;0.873256;0.263676
0.001696;0.644962;-0.025145;0.042823;1765691;-0.018525;0.001824;0.692367;0.006743;0.050345;1214929;0.014248;-0.190471;0.179612;-0.934027;-0.083705;0.877164;-0.258718;0.869589;-0.356662;-0.153861;-0.088374;0.873188;0.263793
0.001992;0.645077;-0.025575;0.042815;1765675;-0.018395;0.001843;0.692317;0.006789;0.050364;1214925;0.014247;-0.191090;0.178858;-0.934039;-0.084217;0.877348;-0.258601;0.869728;-0.356600;-0.153381;-0.088446;0.873071;0.263950
